Index,MAC,Vendor,SSID,Channel,Mode,RSSI,Noise,Security
64,34:3d:c4:34:3e:90,BUFFALO.INC,AW-WAPM1166D-a,36,802.11a/n/ac,-40,-95,AES
65,58:27:8c:fb:09:10,BUFFALO.INC,WAP-A,48,802.11a/n/ac,-53,-95,AES
66,58:27:8c:fb:09:12,BUFFALO.INC,FREESPOT,48,802.11a/n/ac,-53,-95,NONE
67,58:27:8c:fb:09:14,BUFFALO.INC,.,48,802.11a/n/ac,-53,-95,AES
68,58:27:8c:fb:09:13,BUFFALO.INC,'freespot'=SecurityPassword(AES),48,802.11a/n/ac,-53,-95,AES
69,58:27:8c:fb:09:11,BUFFALO.INC,WAP-BITSsales_A,48,802.11a/n/ac,-53,-95,AES
70,58:27:8c:fb:09:23,BUFFALO.INC,'freespot'=SecurityPassword(AES),132,802.11a/n/ac,-54,-95,AES
71,58:27:8c:fb:09:20,BUFFALO.INC,WAP-A,132,802.11a/n/ac,-54,-95,AES
72,58:27:8c:fb:09:22,BUFFALO.INC,FREESPOT,132,802.11a/n/ac,-54,-95,NONE
73,58:27:8c:fb:09:24,BUFFALO.INC,.,132,802.11a/n/ac,-54,-95,AES
74,58:27:8c:fb:09:21,BUFFALO.INC,WAP-BITSsales_A,132,802.11a/n/ac,-54,-95,AES
75,18:c2:bf:c3:17:f3,BUFFALO.INC,'freespot'=SecurityPassword(AES),128,802.11a/n/ac,-62,-95,AES
76,18:c2:bf:c3:17:f0,BUFFALO.INC,WAP-A,128,802.11a/n/ac,-62,-95,AES
77,18:c2:bf:c3:17:f1,BUFFALO.INC,WAP-BITSsales_A,128,802.11a/n/ac,-63,-95,AES
78,18:c2:bf:c3:17:f4,BUFFALO.INC,.,128,802.11a/n/ac,-64,-95,AES
79,18:c2:bf:c3:17:f2,BUFFALO.INC,FREESPOT,128,802.11a/n/ac,-64,-95,NONE
80,58:27:8c:c5:da:30,BUFFALO.INC,lashic_buffalo,136,802.11a/n/ac,-65,-95,AES
81,18:c2:bf:c3:17:e4,BUFFALO.INC,.,36,802.11a/n/ac,-66,-95,AES
82,18:c2:bf:c3:17:e0,BUFFALO.INC,WAP-A,36,802.11a/n/ac,-66,-95,AES
83,18:c2:bf:c3:17:e2,BUFFALO.INC,FREESPOT,36,802.11a/n/ac,-66,-95,NONE
84,18:c2:bf:c3:17:e3,BUFFALO.INC,'freespot'=SecurityPassword(AES),36,802.11a/n/ac,-66,-95,AES
85,18:c2:bf:c3:17:e1,BUFFALO.INC,WAP-BITSsales_A,36,802.11a/n/ac,-66,-95,AES
86,50:c4:dd:b4:08:38,BUFFALO.INC,DTKY_DiRAS,100(80MHz),802.11a/n/ac,-68,-95,AES
87,18:c2:bf:c3:0e:c1,BUFFALO.INC,WAP-BITSsales_A,128,802.11a/n/ac,-69,-95,AES
88,18:c2:bf:c3:08:50,BUFFALO.INC,FREESPOT,36,802.11a/n/ac,-69,-95,NONE
89,18:c2:bf:c3:0e:c0,BUFFALO.INC,WAP-A,128,802.11a/n/ac,-69,-95,AES
90,18:c2:bf:c3:0e:c4,BUFFALO.INC,.,128,802.11a/n/ac,-69,-95,AES
91,18:c2:bf:c3:0e:c3,BUFFALO.INC,'freespot'=SecurityPassword(AES),128,802.11a/n/ac,-69,-95,AES
92,18:c2:bf:c3:08:61,BUFFALO.INC,'freespot'=SecurityPassword(AES),132,802.11a/n/ac,-70,-95,AES
93,18:c2:bf:c3:08:51,BUFFALO.INC,'freespot'=SecurityPassword(AES),36,802.11a/n/ac,-71,-95,AES
94,18:c2:bf:c3:0e:b0,BUFFALO.INC,WAP-A,36,802.11a/n/ac,-71,-95,AES
95,18:c2:bf:c3:0e:b3,BUFFALO.INC,'freespot'=SecurityPassword(AES),36,802.11a/n/ac,-71,-95,AES
96,18:c2:bf:c3:0e:c2,BUFFALO.INC,FREESPOT,128,802.11a/n/ac,-71,-95,NONE
97,18:c2:bf:c3:0e:b4,BUFFALO.INC,.,36,802.11a/n/ac,-71,-95,AES
98,18:c2:bf:c3:0e:b2,BUFFALO.INC,FREESPOT,36,802.11a/n/ac,-71,-95,NONE
99,18:c2:bf:c3:0e:b1,BUFFALO.INC,WAP-BITSsales_A,36,802.11a/n/ac,-71,-95,AES
100,52:41:b9:05:0a:7b,<Random MAC>,IODATA-050a78-5G-2,100(80MHz),802.11a/n/ac,-71,-95,AES
101,18:c2:bf:c3:08:60,BUFFALO.INC,FREESPOT,132,802.11a/n/ac,-72,-95,NONE
102,18:c2:bf:62:ac:c3,BUFFALO.INC,'freespot'=SecurityPassword(AES),40,802.11a/n/ac,-72,-95,AES
103,18:c2:bf:62:ac:c0,BUFFALO.INC,WAP-A,40,802.11a/n/ac,-72,-95,AES
104,18:c2:bf:62:ac:c4,BUFFALO.INC,.,40,802.11a/n/ac,-72,-95,AES
105,18:c2:bf:62:ac:d1,BUFFALO.INC,WAP-BITSsales_A,140,802.11a/n/ac,-72,-95,AES
106,18:c2:bf:62:ac:c2,BUFFALO.INC,FREESPOT,40,802.11a/n/ac,-72,-95,NONE
107,18:c2:bf:62:ac:c1,BUFFALO.INC,WAP-BITSsales_A,40,802.11a/n/ac,-72,-95,AES
108,18:c2:bf:62:ac:d2,BUFFALO.INC,FREESPOT,140,802.11a/n/ac,-73,-95,NONE
109,18:c2:bf:62:ac:d0,BUFFALO.INC,WAP-A,140,802.11a/n/ac,-73,-95,AES
110,18:c2:bf:62:ac:d4,BUFFALO.INC,.,140,802.11a/n/ac,-73,-95,AES
111,18:c2:bf:62:de:a4,BUFFALO.INC,WAP-Drkeihi,40,802.11a/n/ac,-73,-95,AES
112,50:c4:dd:b4:08:30,BUFFALO.INC,DTKY_DiRAS,40(80MHz),802.11a/n/ac,-73,-95,AES
113,18:c2:bf:62:de:a2,BUFFALO.INC,FREESPOT,40,802.11a/n/ac,-73,-95,NONE
114,18:c2:bf:62:de:b3,BUFFALO.INC,'freespot'=SecurityPassword(AES),140,802.11a/n/ac,-73,-95,AES
115,18:c2:bf:62:de:a0,BUFFALO.INC,WAP-A,40,802.11a/n/ac,-73,-95,AES
116,18:c2:bf:62:de:a3,BUFFALO.INC,'freespot'=SecurityPassword(AES),40,802.11a/n/ac,-73,-95,AES
117,18:c2:bf:62:ac:d3,BUFFALO.INC,'freespot'=SecurityPassword(AES),140,802.11a/n/ac,-73,-95,AES
118,52:41:b9:15:0a:7a,<Random MAC>,IO-Guest-050a78-5G-1,36(80MHz),802.11a/n/ac,-73,-95,AES
119,18:c2:bf:62:de:a5,BUFFALO.INC,.,40,802.11a/n/ac,-73,-95,AES
120,50:41:b9:05:0a:7a,"I-O DATA DEVICE,INC.",IODATA-050a78-5G-1,36(80MHz),802.11a/n/ac,-74,-95,AES
121,18:c2:bf:62:de:b0,BUFFALO.INC,WAP-A,140,802.11a/n/ac,-75,-95,AES
122,18:c2:bf:62:de:b4,BUFFALO.INC,WAP-Drkeihi,140,802.11a/n/ac,-75,-95,AES
123,18:c2:bf:62:de:b1,BUFFALO.INC,WAP-BITSsales_A,140,802.11a/n/ac,-75,-95,AES
124,18:c2:bf:62:de:b2,BUFFALO.INC,FREESPOT,140,802.11a/n/ac,-75,-95,NONE
125,18:c2:bf:62:de:b5,BUFFALO.INC,.,140,802.11a/n/ac,-75,-95,AES
126,18:c2:bf:62:ca:44,BUFFALO.INC,.,128,802.11a/n/ac,-76,-95,AES
127,18:c2:bf:62:ca:41,BUFFALO.INC,WAP-BITSsales_A,128,802.11a/n/ac,-76,-95,AES
128,90:96:f3:72:ae:48,BUFFALO.INC,FREESPOT,36(80MHz),802.11a/n/ac,-77,-95,NONE
129,18:ec:e7:74:60:b0,BUFFALO.INC,Hotelkahou_conv,116+120,802.11a/n/ac,-82,-95,AES
130,18:ec:e7:74:60:a0,BUFFALO.INC,Hotelkahou_conv,64+60,802.11a/n/ac,-82,-95,AES
131,18:c2:bf:62:ca:40,BUFFALO.INC,WAP-A,128,802.11a/n/ac,-83,-95,AES
132,d0:15:a6:7c:29:90,"Aruba, a Hewlett Packard Enterprise Company",7bc759ee0ccd298abb735618e76b2d6,52(80MHz),802.11a/n/ac,-83,-95,AES
133,d0:15:a6:7c:29:93,"Aruba, a Hewlett Packard Enterprise Company",DTKY_DEV,52(80MHz),802.11a/n/ac,-83,-95,AES
134,d0:15:a6:7c:29:92,"Aruba, a Hewlett Packard Enterprise Company",DTKY_BIZ,52(80MHz),802.11a/n/ac,-83,-95,AES
135,18:c2:bf:62:ca:42,BUFFALO.INC,FREESPOT,128,802.11a/n/ac,-84,-95,NONE
136,18:c2:bf:62:ca:32,BUFFALO.INC,FREESPOT,36,802.11a/n/ac,-85,-95,NONE
137,18:c2:bf:62:ca:33,BUFFALO.INC,'freespot'=SecurityPassword(AES),36,802.11a/n/ac,-85,-95,AES
138,18:c2:bf:62:ca:31,BUFFALO.INC,WAP-BITSsales_A,36,802.11a/n/ac,-85,-95,AES
139,18:c2:bf:62:ca:34,BUFFALO.INC,.,36,802.11a/n/ac,-85,-95,AES
140,18:c2:bf:62:ca:30,BUFFALO.INC,WAP-A,36,802.11a/n/ac,-86,-95,AES
141,18:c2:bf:62:d6:42,BUFFALO.INC,FREESPOT,100,802.11a/n/ac,-89,-95,NONE
142,d4:2c:46:34:d9:08,BUFFALO.INC,Buffalo-D900,48(80MHz),802.11a/n/ac/ax,-90,-95,AES
143,18:c2:bf:62:d6:40,BUFFALO.INC,WAP-A,100,802.11a/n/ac,-92,-95,AES
144,18:c2:bf:62:d6:41,BUFFALO.INC,WAP-BITSsales_A,100,802.11a/n/ac,-93,-95,AES
145,18:c2:bf:62:d6:43,BUFFALO.INC,'freespot'=SecurityPassword(AES),100,802.11a/n/ac,-93,-95,AES
146,18:c2:bf:62:d6:44,BUFFALO.INC,.,100,802.11a/n/ac,-93,-95,AES
147,d4:2c:46:34:d9:0c,BUFFALO.INC,Buffalo-D900-WPA3,48(80MHz),802.11a/n/ac/ax,-94,-95,AES
148,ac:23:16:2d:33:ab,"Mist Systems, Inc.",.,52+56,802.11a/n/ac/ax,-94,-95,AES
149,ac:23:16:2d:33:aa,"Mist Systems, Inc.",.,52+56,802.11a/n/ac/ax,-94,-95,AES
150,d4:2c:46:34:d9:09,BUFFALO.INC,.,48(80MHz),802.11a/n/ac/ax,-94,-95,AES
151,18:c2:bf:62:d6:30,BUFFALO.INC,WAP-A,36,802.11a/n/ac,-94,-95,AES
152,18:c2:bf:62:d6:31,BUFFALO.INC,WAP-BITSsales_A,36,802.11a/n/ac,-94,-95,AES
153,ac:23:16:2d:33:a8,"Mist Systems, Inc.",.,52+56,802.11a/n/ac/ax,-94,-95,AES
154,18:c2:bf:62:d6:34,BUFFALO.INC,.,36,802.11a/n/ac,-94,-95,AES
155,ac:23:16:2d:33:a4,"Mist Systems, Inc.",.,52+56,802.11a/n/ac/ax,-95,-95,AES
156,ac:23:16:2d:33:a5,"Mist Systems, Inc.",.,52+56,802.11a/n/ac/ax,-95,-95,AES
157,ac:23:16:2d:33:a1,"Mist Systems, Inc.",.,52+56,802.11a/n/ac/ax,-95,-95,AES
158,ac:23:16:2d:33:a9,"Mist Systems, Inc.",.,52+56,802.11a/n/ac/ax,-95,-95,AES
159,ac:23:16:2d:33:a3,"Mist Systems, Inc.",.,52+56,802.11a/n/ac/ax,-95,-95,AES
160,ac:23:16:2d:33:a7,"Mist Systems, Inc.",Next-Match-Tester,52+56,802.11a/n/ac,-95,-95,AES
161,ac:23:16:2d:33:a6,"Mist Systems, Inc.",.,52+56,802.11a/n/ac/ax,-96,-95,AES
162,ac:23:16:2d:4e:a4,"Mist Systems, Inc.",.,36+40,802.11a/n/ac/ax,-96,-95,AES
