Index,MAC,Vendor,SSID,Channel,Mode,RSSI,Noise,Security
1,d4:2c:46:51:2b:41,BUFFALO.INC,NO_test_2.4,3,802.11g/n/ax,-22,-95,AES
2,c4:36:c0:c3:17:73,BUFFALO.INC,radiustest-peap,6,802.11g/n/ax,-26,-95,AES
3,c4:36:c0:c3:17:74,BUFFALO.INC,radiustest-tls,6,802.11g/n/ax,-26,-95,AES
4,c4:36:c0:c3:17:72,BUFFALO.INC,navitest-ma,6,802.11g/n/ax,-27,-95,AES
5,88:57:ee:6f:db:a7,BUFFALO.INC,21_11g_CPSE_TT,11,802.11g/n,-28,-95,AES
6,88:57:ee:6f:db:a1,BUFFALO.INC,17_11g_CPSE_Share,11,802.11g/n,-28,-95,AES
7,60:84:bd:f4:7c:e0,BUFFALO.INC,test-24,3,802.11g/n,-28,-95,AES
8,88:57:ee:6f:db:a6,BUFFALO.INC,20_11g_CPSE_MA,11,802.11g/n,-28,-95,AES
9,c4:36:c0:c3:17:75,BUFFALO.INC,radiustest-mac,6,802.11g/n/ax,-28,-95,AES
10,88:57:ee:6f:db:a4,BUFFALO.INC,19_11g_CPSE_KH,11,802.11g/n,-28,-95,AES
11,34:3d:c4:34:3e:82,BUFFALO.INC,0000BITSTEST-ZZZZ,6,802.11g/n,-28,-95,AES
12,18:c2:bf:5e:45:a0,BUFFALO.INC,test-24,11,802.11g/n,-29,-95,AES
13,74:da:38:61:49:92,Edimax Technology Co. Ltd.,CFD-RMG2.4G,3,802.11g/n,-29,-95,AES
14,18:ec:e7:f4:04:a2,BUFFALO.INC,Buffalo-G-04A0,4,802.11g/n/ax,-29,-95,AES
15,88:57:ee:6f:db:a3,BUFFALO.INC,22_11g_CPSE_HM,11,802.11g/n,-29,-95,AES
16,88:57:ee:6f:db:a5,BUFFALO.INC,23_11g_CPSE_AY,11,802.11g/n,-29,-95,AES
17,88:57:ee:6f:db:a2,BUFFALO.INC,18_11g_CPSE_HT,11,802.11g/n,-29,-95,AES
18,84:af:ec:3b:8e:30,BUFFALO.INC,takano-wifi,11,802.11g/n,-29,-95,AES
19,34:3d:c4:34:3e:80,BUFFALO.INC,AW-WAPM1166D-g,6,802.11g/n,-30,-95,AES
20,18:ec:e7:f4:04:a1,BUFFALO.INC,.,4,802.11g/n/ax,-30,-95,AES
21,c4:36:c0:c3:17:71,BUFFALO.INC,Navitest-24,6,802.11g/n/ax,-32,-95,AES
22,18:ec:e7:f4:04:a3,BUFFALO.INC,Buffalo-G-04A0-WPA3,4,802.11g/n/ax,-32,-95,AES
23,50:c4:dd:4f:c1:78,BUFFALO.INC,Buffalo-G-C178,6,802.11g/n,-32,-95,AES
24,50:c4:dd:ca:71:9f,BUFFALO.INC,Buffalo-G-7190-WPA3,11,802.11g/n/ax,-33,-95,AES
25,34:3d:c4:34:3e:81,BUFFALO.INC,.,6,802.11g/n,-33,-95,AES
26,50:c4:dd:ca:71:98,BUFFALO.INC,Buffalo-G-7190,11,802.11g/n/ax,-36,-95,AES
27,58:27:8c:fb:09:03,BUFFALO.INC,.,1,802.11g/n,-36,-95,AES
28,58:27:8c:fb:09:01,BUFFALO.INC,WAP-BITSsales_G,1,802.11g/n,-42,-95,AES
29,58:27:8c:fb:09:02,BUFFALO.INC,FREESPOT,1,802.11g/n,-42,-95,NONE
30,18:c2:bf:62:ac:b0,BUFFALO.INC,WAP-G,1,802.11g/n,-48,-95,AES
31,18:c2:bf:62:ca:20,BUFFALO.INC,WAP-G,9,802.11g/n,-50,-95,AES
32,18:c2:bf:62:ac:b2,BUFFALO.INC,FREESPOT,1,802.11g/n,-50,-95,NONE
33,54:ba:d6:d2:63:57,"HUAWEI TECHNOLOGIES CO.,LTD",SPWN_H37_D26357,9,802.11g/n,-53,-95,TKIP/AES
34,18:c2:bf:62:de:93,BUFFALO.INC,.,2,802.11g/n,-54,-95,AES
35,50:c4:dd:b4:08:28,BUFFALO.INC,DTKY_DiRAS,11+7,802.11g/n,-58,-95,AES
36,52:41:b9:15:0a:79,<Random MAC>,IO-Guest-050a78-2G,1+5,802.11g/n,-58,-95,NONE
37,d0:15:a6:7c:29:82,"Aruba, a Hewlett Packard Enterprise Company",DTKY_BIZ,11,802.11g/n,-60,-95,AES
38,d0:15:a6:7c:29:83,"Aruba, a Hewlett Packard Enterprise Company",DTKY_DEV,11,802.11g/n,-61,-95,AES
39,4c:5e:0c:2a:10:7f,Routerboard.com,VLAN22-local,40,802.11a/n/ac,-26,-95,NONE
40,d4:2c:46:51:2b:51,BUFFALO.INC,NO_test_5,140+144,802.11a/n/ac/ax,-32,-95,AES
41,88:57:ee:6f:db:b5,BUFFALO.INC,23_11a_CPSE_AY,48+44,802.11a/n/ac,-35,-95,AES
42,88:57:ee:6f:db:b1,BUFFALO.INC,17_11a_CPSE_Share,48+44,802.11a/n/ac,-35,-95,AES
43,88:57:ee:6f:db:b3,BUFFALO.INC,22_11a_CPSE_HM,48+44,802.11a/n/ac,-35,-95,AES
44,88:57:ee:6f:db:b2,BUFFALO.INC,18_11a_CPSE_HT,48+44,802.11a/n/ac,-35,-95,AES
45,c4:36:c0:c3:17:81,BUFFALO.INC,Navitest-5,140(80MHz),802.11a/n/ac/ax,-35,-95,AES
46,c4:36:c0:c3:17:84,BUFFALO.INC,radiustest-tls,140(80MHz),802.11a/n/ac/ax,-35,-95,AES
47,88:57:ee:6f:db:b8,BUFFALO.INC,21_11a_CPSE_TT,48+44,802.11a/n/ac,-35,-95,AES
48,88:57:ee:6f:db:b4,BUFFALO.INC,19_11a_CPSE_KH,48+44,802.11a/n/ac,-35,-95,AES
49,88:57:ee:6f:db:b6,BUFFALO.INC,20_11a_CPSE_MA,48+44,802.11a/n/ac,-35,-95,AES
50,c4:36:c0:c3:17:82,BUFFALO.INC,navitest-ma,140(80MHz),802.11a/n/ac/ax,-36,-95,AES
51,60:84:bd:f4:7c:e8,BUFFALO.INC,test-5,64(80MHz),802.11a/n/ac,-36,-95,AES
52,c4:36:c0:c3:17:85,BUFFALO.INC,radiustest-mac,140(80MHz),802.11a/n/ac/ax,-36,-95,AES
53,18:ec:e7:f4:04:a9,BUFFALO.INC,Buffalo-A-04A0,100(80MHz),802.11a/n/ac/ax,-36,-95,AES
54,c4:36:c0:c3:17:83,BUFFALO.INC,radiustest-peap,140(80MHz),802.11a/n/ac/ax,-36,-95,AES
55,18:ec:e7:f4:04:aa,BUFFALO.INC,Buffalo-A-04A0-WPA3,100(80MHz),802.11a/n/ac/ax,-37,-95,AES
56,18:c2:bf:5e:45:a8,BUFFALO.INC,test-5,64(80MHz),802.11a/n/ac,-37,-95,AES
57,18:ec:e7:f4:04:a8,BUFFALO.INC,.,100(80MHz),802.11a/n/ac/ax,-38,-95,AES
58,74:da:38:61:49:93,Edimax Technology Co. Ltd.,CFD-RMG5G,40(80MHz),802.11a/n/ac,-39,-95,AES
59,50:c4:dd:3c:f4:5c,BUFFALO.INC,0000SEKKEI-a,36(80MHz),802.11a/n/ac,-39,-95,AES
60,50:c4:dd:4f:c1:7c,BUFFALO.INC,Buffalo-A-C178,36(80MHz),802.11a/n/ac,-39,-95,AES
61,34:3d:c4:34:3e:91,BUFFALO.INC,AW-WAPM1166D-AAAA,36,802.11a/n/ac,-40,-95,AES
62,50:c4:dd:ca:71:a0,BUFFALO.INC,Buffalo-A-7190,128(160MHz),802.11a/n/ac/ax,-40,-95,AES
63,50:c4:dd:ca:71:a7,BUFFALO.INC,Buffalo-A-7190-WPA3,128(160MHz),802.11a/n/ac/ax,-40,-95,AES
